CATEGORY,START_TIME,ROAD
2,2023-07-29 23:24:00,Октябрьская
1,2023-07-30 10:33:00,Забайкальская
3,2023-07-31 00:10:00,Свердловская
3,2023-01-08 13:37:00,Октябрьская
2,2023-02-08 19:42:00,Калининградская
1,2023-03-08 23:41:00,Октябрьская
2,2023-04-08 04:15:00,Октябрьская
3,2023-04-08 18:00:00,Свердловская
3,2023-05-08 02:58:00,Юго-Восточная
3,2023-05-08 05:39:00,Московская
2,2023-08-08 05:27:00,Восточно-Сибирская
2,2023-08-08 22:18:00,Октябрьская
3,2023-09-08 01:49:00,Октябрьская
1,2023-09-08 18:57:00,Красноярская
2,2023-09-08 23:13:00,Октябрьская
3,2023-10-08 02:45:00,Октябрьская
3,2023-10-08 04:00:00,Октябрьская
2,2023-11-08 05:42:00,Московская
3,2023-11-08 14:40:00,Московская
3,2023-12-08 06:47:00,Московская
3,2023-12-08 07:17:00,Свердловская
3,2023-08-13 00:50:00,Юго-Восточная
1,2023-08-14 13:58:00,Южно-Уральская
3,2023-08-15 16:24:00,Октябрьская
1,2023-08-15 16:35:00,Октябрьская
3,2023-08-16 06:53:00,Московская
3,2023-08-16 10:44:00,Октябрьская
2,2023-08-16 13:37:00,Восточно-Сибирская
3,2023-08-17 00:30:00,Московская
3,2023-08-17 01:39:00,Московская
2,2023-08-17 20:10:00,Октябрьская
3,2023-08-18 01:16:00,Октябрьская
3,2023-08-18 04:42:00,Московская
3,2023-08-18 05:45:00,Южно-Уральская
3,2023-08-18 06:42:00,Западно-Сибирская
3,2023-08-18 17:10:00,Октябрьская
3,2023-08-18 18:49:00,Октябрьская
3,2023-08-18 20:35:00,Южно-Уральская
2,2023-08-20 11:35:00,Свердловская
3,2023-08-20 11:40:00,Октябрьская
3,2023-08-21 03:13:00,Юго-Восточная
1,2023-08-22 13:42:00,Забайкальская
1,2023-08-22 20:50:00,Забайкальская
3,2023-08-23 05:51:00,Октябрьская
1,2023-08-23 06:41:00,Северо-Кавказская
3,2023-08-23 10:20:00,Западно-Сибирская
3,2023-08-23 12:22:00,Московская
2,2023-08-23 15:09:00,Октябрьская
2,2023-08-23 22:11:00,Московская
2,2023-08-24 07:20:00,Московская
3,2023-08-24 10:05:00,Западно-Сибирская
3,2023-08-24 10:17:00,Западно-Сибирская
3,2023-08-25 02:10:00,Северная
3,2023-08-26 05:54:00,Московская
3,2023-08-26 11:41:00,Западно-Сибирская
3,2023-08-26 19:48:00,Октябрьская
3,2023-08-26 20:00:00,Московская
3,2023-08-29 21:08:00,Октябрьская
3,2023-08-30 02:14:00,Московская
2,2023-08-30 10:13:00,Восточно-Сибирская
3,2023-08-31 00:13:00,Московская
3,2023-01-09 01:30:00,Октябрьская
2,2023-01-09 08:00:00,Октябрьская
2,2023-01-09 08:11:00,Московская
2,2023-02-09 13:09:00,Октябрьская
3,2023-02-09 14:22:00,Октябрьская
3,2023-03-09 12:00:00,Октябрьская
3,2023-03-09 13:00:00,Октябрьская
3,2023-04-09 15:50:00,Октябрьская
3,2023-04-09 22:10:00,Московская
3,2023-05-09 04:07:00,Свердловская
3,2023-05-09 08:30:00,Октябрьская
3,2023-05-09 19:56:00,Октябрьская
2,2023-06-09 23:25:00,Московская
2,2023-07-09 08:27:00,Забайкальская
3,2023-07-09 12:40:00,Западно-Сибирская
3,2023-07-09 22:15:00,Западно-Сибирская
1,2023-08-09 06:50:00,Забайкальская
3,2023-08-09 08:00:00,Московская
3,2023-09-09 01:07:00,Октябрьская
3,2023-09-09 05:42:00,Октябрьская
3,2023-09-09 22:59:00,Московская
1,2023-10-09 14:50:00,Дальневосточная
3,2023-11-09 07:25:00,Октябрьская
3,2023-12-09 06:08:00,Октябрьская
2,2023-12-09 10:35:00,Красноярская
3,2023-12-09 23:50:00,Октябрьская
3,2023-09-13 08:30:00,Октябрьская
3,2023-09-13 20:00:00,Московская
3,2023-09-14 03:51:00,Западно-Сибирская
3,2023-09-14 14:06:00,Октябрьская
2,2023-09-15 03:30:00,Октябрьская
1,2023-09-15 19:00:00,Восточно-Сибирская
3,2023-09-16 01:25:00,Октябрьская
3,2023-09-16 03:05:00,Октябрьская
3,2023-09-16 07:30:00,Октябрьская
1,2023-09-16 14:49:00,Горьковская
3,2023-09-17 12:30:00,Московская
3,2023-09-17 22:10:00,Октябрьская
2,2023-09-19 17:20:00,Свердловская
3,2023-09-19 20:33:00,Октябрьская
3,2023-09-21 03:46:00,Октябрьская
1,2023-09-21 08:00:00,Свердловская
3,2023-09-21 15:00:00,Октябрьская
3,2023-09-22 15:27:00,Западно-Сибирская
3,2023-09-23 05:36:00,Октябрьская
3,2023-09-23 23:50:00,Октябрьская
2,2023-09-25 02:05:00,Октябрьская
3,2023-09-25 09:26:00,Октябрьская
3,2023-09-25 13:51:00,Октябрьская
3,2023-09-25 20:00:00,Октябрьская
3,2023-09-25 23:49:00,Октябрьская
3,2023-09-26 02:58:00,Западно-Сибирская
3,2023-09-26 16:00:00,Октябрьская
3,2023-09-27 02:09:00,Московская
2,2023-09-27 15:50:00,Забайкальская
1,2023-09-27 21:06:00,Октябрьская
3,2023-09-28 01:45:00,Октябрьская
2,2023-09-28 08:36:00,Забайкальская
3,2023-09-28 10:40:00,Октябрьская
3,2023-09-28 21:01:00,Юго-Восточная
3,2023-09-29 05:49:00,Октябрьская
1,2023-09-30 03:40:00,Западно-Сибирская
1,2023-09-30 07:32:00,Восточно-Сибирская
3,2023-01-10 04:30:00,Западно-Сибирская
