CATEGORY,START_TIME,ROAD
2,2024-03-30 19:18:00,Забайкальская
3,2024-03-30 22:50:00,Свердловская
1,2024-03-31 06:42:00,Северная
2,2024-03-31 08:10:00,Восточно-Сибирская
2,2024-03-31 11:35:00,Северная
2,2024-03-31 18:49:00,Восточно-Сибирская
3,2024-01-04 03:59:00,Забайкальская
3,2024-01-04 05:48:00,Восточно-Сибирская
3,2024-01-04 08:48:00,Северная
3,2024-01-04 10:05:00,Восточно-Сибирская
2,2024-01-04 10:50:00,Восточно-Сибирская
3,2024-01-04 14:13:00,Восточно-Сибирская
3,2024-01-04 22:23:00,Забайкальская
3,2024-01-04 22:50:00,Свердловская
3,2024-02-04 06:05:00,Забайкальская
3,2024-02-04 06:24:00,Московская
2,2024-02-04 06:51:00,Восточно-Сибирская
3,2024-02-04 14:00:00,Куйбышевская
3,2024-02-04 18:34:00,Западно-Сибирская
3,2024-03-04 00:15:00,Забайкальская
3,2024-03-04 13:30:00,Куйбышевская
3,2024-04-04 03:06:00,Восточно-Сибирская
3,2024-04-04 03:55:00,Забайкальская
3,2024-04-04 06:35:00,Забайкальская
2,2024-05-04 01:18:00,Восточно-Сибирская
3,2024-05-04 05:53:00,Забайкальская
2,2024-05-04 11:00:00,Забайкальская
3,2024-06-04 11:59:00,Южно-Уральская
2,2024-07-04 01:35:00,Забайкальская
3,2024-07-04 02:27:00,Западно-Сибирская
3,2024-07-04 16:15:00,Южно-Уральская
3,2024-07-04 16:20:00,Восточно-Сибирская
2,2024-08-04 01:50:00,Дальневосточная
2,2024-08-04 11:01:00,Восточно-Сибирская
3,2024-08-04 23:35:00,Западно-Сибирская
3,2024-09-04 08:30:00,Забайкальская
2,2024-09-04 10:37:00,Забайкальская
1,2024-10-04 00:52:00,Забайкальская
2,2024-10-04 05:37:00,Восточно-Сибирская
3,2024-10-04 06:58:00,Южно-Уральская
3,2024-10-04 09:12:00,Куйбышевская
3,2024-10-04 15:40:00,Куйбышевская
3,2024-11-04 12:59:00,Октябрьская
3,2024-11-04 20:40:00,Южно-Уральская
3,2024-11-04 20:42:00,Южно-Уральская
1,2024-11-04 22:12:00,Северная
3,2024-12-04 04:35:00,Забайкальская
1,2024-12-04 16:53:00,Забайкальская
3,2024-04-13 02:50:00,Свердловская
1,2024-04-13 10:22:00,Северная
3,2024-04-13 15:15:00,Забайкальская
3,2024-04-13 15:30:00,Свердловская
2,2024-04-13 17:48:00,Западно-Сибирская
3,2024-04-13 20:37:00,Октябрьская
3,2024-04-13 22:47:00,Куйбышевская
3,2024-04-14 00:20:00,Западно-Сибирская
2,2024-04-14 08:12:00,Восточно-Сибирская
2,2024-04-14 08:30:00,Дальневосточная
3,2024-04-14 23:30:00,Забайкальская
3,2024-04-15 04:05:00,Красноярская
3,2024-04-15 04:30:00,Забайкальская
3,2024-04-15 05:57:00,Красноярская
3,2024-04-15 14:38:00,Красноярская
3,2024-04-15 15:00:00,Красноярская
3,2024-04-16 00:42:00,Свердловская
3,2024-04-16 01:22:00,Забайкальская
3,2024-04-16 02:24:00,Южно-Уральская
1,2024-04-16 03:04:00,Забайкальская
2,2024-04-16 03:08:00,Восточно-Сибирская
3,2024-04-16 06:48:00,Красноярская
3,2024-04-17 13:05:00,Куйбышевская
3,2024-04-17 14:30:00,Красноярская
3,2024-04-17 16:10:00,Восточно-Сибирская
3,2024-04-17 20:22:00,Восточно-Сибирская
3,2024-04-18 00:00:00,Западно-Сибирская
3,2024-04-18 01:12:00,Южно-Уральская
1,2024-04-18 07:20:00,Северная
3,2024-04-18 10:40:00,Свердловская
3,2024-04-18 19:04:00,Красноярская
3,2024-04-18 19:12:00,Южно-Уральская
2,2024-04-18 22:43:00,Забайкальская
3,2024-04-18 23:53:00,Дальневосточная
2,2024-04-19 01:12:00,Дальневосточная
2,2024-04-19 01:54:00,Восточно-Сибирская
3,2024-04-19 11:30:00,Красноярская
3,2024-04-19 12:00:00,Западно-Сибирская
3,2024-04-19 21:08:00,Свердловская
3,2024-04-19 22:51:00,Забайкальская
3,2024-04-20 17:13:00,Свердловская
1,2024-04-21 00:04:00,Октябрьская
3,2024-04-21 01:07:00,Октябрьская
3,2024-04-21 04:36:00,Октябрьская
1,2024-04-21 06:24:00,Октябрьская
