CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
2,12681719,2023-01-21 15:59:00,Октябрьская,"ОКТ, ТЧЭ-12","1шт 0,48ч",,,Прочая неисправность рукоятки клапана песочницы,CT,2023,1.0,"0,48ч",,,,
3,12679953,2023-01-21 21:42:00,Западно-Сибирская,"З-СИБ, ТЧЭ-10",,,,Прочая неисправность корпуса сборника,CT,2023,,,,,,
1,12680058,2023-01-21 22:14:00,Западно-Сибирская,"З-СИБ, ТЧЭ-7","2шт 4,28ч",,"1шт 0,12ч",Неисправность приборов управления тормозами,CT,2023,2.0,"4,28ч",,,1.0,"0,12ч"
2,12680144,2023-01-22 03:29:00,Забайкальская,"ЗАБ, ТЧЭ-5",,,"1шт 0,6ч",Прочая неисправность штуцера главного резервуара,CT,2023,,,,,1.0,"0,6ч"
3,12680420,2023-01-22 10:32:00,Красноярская,"КРАС, ТЧЭ-5",,,,Прочая неисправность блок-контактов реле давления масла,CT,2023,,,,,,
3,12699237,2023-01-22 21:01:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
3,12699247,2023-01-22 22:45:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
3,12680831,2023-01-23 00:26:00,Октябрьская,"ОКТ, ТЧЭ-22",,,,Неисправности других конструкционных элементов,CT,2023,,,,,,
3,12681221,2023-01-23 08:45:00,Западно-Сибирская,"З-СИБ, ТЧЭ-2",,,,"Код 14.2 Пробоксовки в виде местного износа и выкрашивания металла в местах термомеханических повреждений головки рельса из-за боксования, юза колес подвижного состава или нарушения режимов шлифования рельсошлифовальными поездами",CT,2023,,,,,,
3,12683066,2023-01-24 12:56:00,Западно-Сибирская,"З-СИБ, ТЧЭ-19",,,,Отгорание электрического соединителя контактного медного провода,CT,2023,,,,,,
1,12683553,2023-01-24 18:50:00,Свердловская,"СВЕРД, ТЧЭ-15",,,,"Деформация путеочистителя корпуса кузова локомотива, МВПС",CT,2023,,,,,,
3,12684701,2023-01-25 08:34:00,Горьковская,"ОКТ, ТЧЭ-1",,,,"Прочая неисправность корпуса буксы локомотива, МВПС",CT,2023,,,,,,
3,12684895,2023-01-25 16:18:00,Юго-Восточная,"МОСК, ТЧЭ-36",,,,"Низкое сопротивление изоляции провода, кабеля низковольтных цепей и цепей управления",CT,2023,,,,,,
1,12690303,2023-01-25 21:50:00,Северо-Кавказская,"С-КАВ, ТЧЭ-11","1шт 0,42ч",,,Пробой днища корпуса тягового редуктора,CT,2023,1.0,"0,42ч",,,,
3,12684988,2023-01-25 22:20:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-5",,,,Прочая неисправность корпуса масловлагоотделителя,CT,2023,,,,,,
3,12685181,2023-01-26 04:54:00,Московская,"МОСК, ТЧЭ-5",,,,Неисправность электромонтажа системы автоматического управления торможением,CT,2023,,,,,,
3,12685525,2023-01-26 09:49:00,Октябрьская,"ОКТ, ТЧЭ-1",,,,Прочая неисправность общего ящика автоматической локомотивной сигнализации,CT,2023,,,,,,
3,12686369,2023-01-27 02:05:00,Октябрьская,"ОКТ, ТЧЭ-12",,,,Прочая неисправность шпильки крана машиниста,CT,2023,,,,,,
3,12686679,2023-01-27 08:30:00,Октябрьская,"ОКТ, ТЧЭ-21",,,,Неисправность МСУД,CT,2023,,,,,,
2,12687644,2023-01-28 04:42:00,Московская,"МОСК, ТЧЭ-5","1шт 0,33ч",,"1шт 0,15ч",Излом рамы токоприемника,CT,2023,1.0,"0,33ч",,,1.0,"0,15ч"
2,12688026,2023-01-28 15:58:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-1","2шт 0,63ч","1шт 0,12ч",,Неисправность блока индикации БИЛ-У комплексного локомотивного устройства безопасности,CT,2023,2.0,"0,63ч",1.0,"0,12ч",,
3,12688159,2023-01-28 21:09:00,Московская,"МОСК, ТЧЭ-36",,,,"Низкое сопротивление изоляции провода, кабеля низковольтных цепей и цепей управления",CT,2023,,,,,,
2,12695070,2023-01-29 04:55:00,Красноярская,"КРАС, ТЧЭ-1","1шт 0,52ч",,,Неисправность других конструкционных элементов,CT,2023,1.0,"0,52ч",,,,
3,12688852,2023-01-29 18:53:00,Западно-Сибирская,"З-СИБ, ТЧЭ-7",,,,Прочая неисправность корпуса масловлагоотделителя,CT,2023,,,,,,
3,12689268,2023-01-30 09:50:00,Западно-Сибирская,"З-СИБ, ТЧЭ-14",,,,"Код 14.2 Пробоксовки в виде местного износа и выкрашивания металла в местах термомеханических повреждений головки рельса из-за боксования, юза колес подвижного состава или нарушения режимов шлифования рельсошлифовальными поездами",CT,2023,,,,,,
3,12689920,2023-01-31 02:48:00,Западно-Сибирская,"З-СИБ, ТЧЭ-10",,,,Прочая неисправность нагревательного элемента электрической печи,CT,2023,,,,,,
3,12690490,2023-01-31 08:00:00,Западно-Сибирская,"З-СИБ, ТЧЭ-4",,,,"Код 14.2 Пробоксовки в виде местного износа и выкрашивания металла в местах термомеханических повреждений головки рельса из-за боксования, юза колес подвижного состава или нарушения режимов шлифования рельсошлифовальными поездами",CT,2023,,,,,,
3,12690253,2023-01-31 09:30:00,Московская,"МОСК, ТЧЭ-5",,,,Прочая неисправность трубопроводов системы подачи топлива,CT,2023,,,,,,
3,12690391,2023-01-31 11:23:00,Западно-Сибирская,"З-СИБ, ТЧЭ-3",,,,"Код 14.1 Пробоксовки в виде местного износа и выкрашивания металла в местах термомеханических повреждений головки рельса из-за боксования, юза колес подвижного состава или нарушения режимов шлифования рельсошлифовальными поездами",CT,2023,,,,,,
3,12690858,2023-01-31 15:50:00,Октябрьская,"ОКТ, ТЧЭ-12",,,,Прочая неисправность манжеты клапана песочницы,CT,2023,,,,,,
1,12690857,2023-01-31 18:20:00,Октябрьская,"ОКТ, ТЧЭ-30","1шт 2,65ч",,,Прочая неисправность блок-контактов панели реле напряжения,CT,2023,1.0,"2,65ч",,,,
2,12691122,2023-02-01 04:34:00,Западно-Сибирская,"З-СИБ, ТЧЭ-19","2шт 0,88ч",,,Обрыв контактного медного провода,CT,2023,2.0,"0,88ч",,,,
3,12691348,2023-02-01 07:32:00,Западно-Сибирская,"З-СИБ, ТЧЭ-19",,,,Обрыв питающего провода,CT,2023,,,,,,
3,12692243,2023-02-01 14:30:00,Западно-Сибирская,"З-СИБ, ТЧЭ-10",,,,"Сдвиг, проворот бандажа колесной пары локомотива, МВПС",CT,2023,,,,,,
1,12692543,2023-02-01 18:00:00,Октябрьская,"ОКТ, ТЧЭ-14","6шт 3,62ч",,,Ослабление крепления удерживающей катушки электромагнитного контактора вспомогательных цепей и цепей управления,CT,2023,6.0,"3,62ч",,,,
1,12693271,2023-02-02 10:00:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-5","1шт 1,75ч",,,"Ползун, выбоина на поверхности катания бандажа колесной пары локомотива, МВПС",CT,2023,1.0,"1,75ч",,,,
3,12694308,2023-02-03 02:05:00,Октябрьская,"ОКТ, ТЧЭ-12",,,,Неисправность вспомогательных кнопок автоматической локомотивной сигнализации,CT,2023,,,,,,
3,12696252,2023-02-04 14:20:00,Московская,"МОСК, ТЧЭ-6",,,,Прочая неисправность манжеты клапана песочницы,CT,2023,,,,,,
2,12696483,2023-02-04 14:58:00,Северная,"МОСК, ТЧЭ-6","1шт 0,28ч","2шт (к учету 1) 0,62ч","2шт 0,3ч",Прочая неисправность манжеты клапана песочницы,CT,2023,1.0,"0,28ч",1.0,"0,62ч",2.0,"0,3ч"
2,12696309,2023-02-04 15:07:00,Октябрьская,"ОКТ, ТЧЭ-4",,,"1шт 0,3ч","Прочая неисправность колесного центра колесной пары локомотива, МВПС",CT,2023,,,,,1.0,"0,3ч"
3,12696399,2023-02-04 18:10:00,Московская,"МОСК, ТЧЭ-5",,,,Прочая неисправность манжеты клапана песочницы,CT,2023,,,,,,
3,12699328,2023-02-07 06:48:00,Западно-Сибирская,"З-СИБ, ТЧЭ-7",,,,"Сдвиг, проворот бандажа колесной пары локомотива, МВПС",CT,2023,,,,,,
1,12723642,2023-02-07 06:51:00,Северо-Кавказская,"С-КАВ, ТЧЭ-6",,"2шт 2,02ч","12шт 8,45ч",Прочая неисправность манжеты клапана песочницы,CT,2023,,,2.0,"2,02ч",12.0,"8,45ч"
2,12699477,2023-02-07 08:38:00,Красноярская,"КРАС, ТЧЭ-7","1шт 0,58ч",,,Ослабление болтов лабиринтного уплотнения корпуса тягового редуктора,CT,2023,1.0,"0,58ч",,,,
