ID, START_TIME
286, 08-08-2023 9:16
287, 09-08-2023 21:19
288, 10-08-2023 4:36
289, 10-08-2023 5:20
290, 10-08-2023 9:56
291, 10-08-2023 11:14
292, 10-08-2023 13:08
293, 10-08-2023 18:20
294, 10-08-2023 18:32
295, 12-08-2023 11:12
296, 12-08-2023 13:33
297, 12-08-2023 18:40
298, 13-08-2023 0:40
299, 13-08-2023 2:08
300, 13-08-2023 9:31
301, 13-08-2023 15:46
302, 13-08-2023 20:20
303, 14-08-2023 0:50
304, 14-08-2023 3:53
305, 14-08-2023 19:03
306, 15-08-2023 12:51
307, 15-08-2023 13:30
308, 15-08-2023 17:48
309, 16-08-2023 7:59
310, 18-08-2023 6:40
311, 20-08-2023 11:09
312, 21-08-2023 14:05
313, 22-08-2023 23:35
314, 23-08-2023 22:45
315, 24-08-2023 23:56
316, 25-08-2023 7:13
317, 26-08-2023 18:14
318, 27-08-2023 0:50
319, 28-08-2023 2:22
320, 28-08-2023 11:45
321, 29-08-2023 14:30
322, 29-08-2023 17:13
323, 29-08-2023 19:48
324, 29-08-2023 20:07
325, 29-08-2023 22:32
326, 30-08-2023 5:21
327, 30-08-2023 21:46
328, 30-08-2023 22:28
329, 31-08-2023 8:24
330, 01-09-2023 1:26
331, 02-09-2023 9:02
332, 02-09-2023 10:52
333, 02-09-2023 16:58
334, 03-09-2023 0:20
335, 03-09-2023 14:20
336, 04-09-2023 9:56
337, 05-09-2023 23:03
338, 06-09-2023 5:23
339, 08-09-2023 10:24
340, 08-09-2023 19:50
341, 09-09-2023 9:35
342, 09-09-2023 11:07
343, 09-09-2023 18:19
344, 11-09-2023 10:17
345, 11-09-2023 18:10
346, 12-09-2023 5:50
347, 12-09-2023 17:19
348, 14-09-2023 7:17
349, 14-09-2023 20:04
350, 16-09-2023 0:15
351, 16-09-2023 22:10
352, 17-09-2023 1:32
353, 18-09-2023 9:35
354, 20-09-2023 2:00
355, 20-09-2023 11:46
356, 20-09-2023 18:26
357, 21-09-2023 17:54
358, 21-09-2023 18:45
359, 23-09-2023 17:39
360, 24-09-2023 7:29
361, 24-09-2023 9:46
362, 25-09-2023 11:54
363, 25-09-2023 13:45
364, 28-09-2023 20:39
365, 29-09-2023 12:25
366, 29-09-2023 21:53
367, 30-09-2023 5:49
368, 01-10-2023 20:25
369, 02-10-2023 4:30
370, 03-10-2023 11:00
371, 03-10-2023 13:20
372, 04-10-2023 18:04
373, 05-10-2023 7:50
374, 06-10-2023 6:32
375, 07-10-2023 2:06
376, 07-10-2023 10:20
377, 08-10-2023 10:58
378, 08-10-2023 17:30
379, 09-10-2023 2:45
380, 09-10-2023 3:30
381, 10-10-2023 4:41
382, 12-10-2023 3:39
383, 12-10-2023 9:01
384, 13-10-2023 0:25
385, 13-10-2023 1:51
386, 14-10-2023 1:50
387, 14-10-2023 11:23
388, 15-10-2023 4:38
389, 15-10-2023 10:02
390, 17-10-2023 23:24
391, 18-10-2023 14:37
392, 18-10-2023 15:51
393, 19-10-2023 14:52
394, 20-10-2023 7:25
395, 20-10-2023 8:24
396, 21-10-2023 10:00
397, 22-10-2023 10:32
398, 22-10-2023 13:40
399, 23-10-2023 4:48
400, 24-10-2023 14:45
401, 26-10-2023 22:29
402, 27-10-2023 13:59
403, 28-10-2023 2:23
404, 28-10-2023 13:49
405, 28-10-2023 21:19
406, 30-10-2023 13:20
407, 31-10-2023 17:26
